"id","adcode","name","state_id:id","city_id:id","zipcode","area_code"
"district_cn_110101","110101","东城区","base.state_cn_BJ","city_cn_110100","100010","010"
"district_cn_110102","110102","西城区","base.state_cn_BJ","city_cn_110100","100032","010"
"district_cn_110105","110105","朝阳区","base.state_cn_BJ","city_cn_110100","100020","010"
"district_cn_110106","110106","丰台区","base.state_cn_BJ","city_cn_110100","100071","010"
"district_cn_110107","110107","石景山区","base.state_cn_BJ","city_cn_110100","100043","010"
"district_cn_110108","110108","海淀区","base.state_cn_BJ","city_cn_110100","100080","010"
"district_cn_110109","110109","门头沟区","base.state_cn_BJ","city_cn_110100","102300","010"
"district_cn_110111","110111","房山区","base.state_cn_BJ","city_cn_110100","102400","010"
"district_cn_110112","110112","通州区","base.state_cn_BJ","city_cn_110100","101100","010"
"district_cn_110113","110113","顺义区","base.state_cn_BJ","city_cn_110100","101300","010"
"district_cn_110114","110114","昌平区","base.state_cn_BJ","city_cn_110100","102200","010"
"district_cn_110115","110115","大兴区","base.state_cn_BJ","city_cn_110100","102600","010"
"district_cn_110116","110116","怀柔区","base.state_cn_BJ","city_cn_110100","101400","010"
"district_cn_110117","110117","平谷区","base.state_cn_BJ","city_cn_110100","101200","010"
"district_cn_110118","110118","密云区","base.state_cn_BJ","city_cn_110100","101500","010"
"district_cn_110119","110119","延庆区","base.state_cn_BJ","city_cn_110100","102100","010"
"district_cn_120101","120101","和平区","base.state_cn_TJ","city_cn_120100","300041","022"
"district_cn_120102","120102","河东区","base.state_cn_TJ","city_cn_120100","300100","022"
"district_cn_120103","120103","河西区","base.state_cn_TJ","city_cn_120100","300200","022"
"district_cn_120104","120104","南开区","base.state_cn_TJ","city_cn_120100","300100","022"
"district_cn_120105","120105","河北区","base.state_cn_TJ","city_cn_120100","300100","022"
"district_cn_120106","120106","红桥区","base.state_cn_TJ","city_cn_120100","300100","022"
"district_cn_120110","120110","东丽区","base.state_cn_TJ","city_cn_120100","300300","022"
"district_cn_120111","120111","西青区","base.state_cn_TJ","city_cn_120100","300300","022"
"district_cn_120112","120112","津南区","base.state_cn_TJ","city_cn_120100","300300","022"
"district_cn_120113","120113","北辰区","base.state_cn_TJ","city_cn_120100","300400","022"
"district_cn_120114","120114","武清区","base.state_cn_TJ","city_cn_120100","301700","022"
"district_cn_120115","120115","宝坻区","base.state_cn_TJ","city_cn_120100","301800","022"
"district_cn_120116","120116","滨海新区","base.state_cn_TJ","city_cn_120100","300450","022"
"district_cn_120117","120117","宁河区","base.state_cn_TJ","city_cn_120100","301500","022"
"district_cn_120118","120118","静海区","base.state_cn_TJ","city_cn_120100","301600","022"
"district_cn_120119","120119","蓟州区","base.state_cn_TJ","city_cn_120100","301900","022"
"district_cn_130102","130102","长安区","base.state_cn_HE","city_cn_130100","050000","0311"
"district_cn_130104","130104","桥西区","base.state_cn_HE","city_cn_130100","050000","0311"
"district_cn_130105","130105","新华区","base.state_cn_HE","city_cn_130100","050000","0311"
"district_cn_130107","130107","井陉矿区","base.state_cn_HE","city_cn_130100","050100","0311"
"district_cn_130108","130108","裕华区","base.state_cn_HE","city_cn_130100","050000","0311"
"district_cn_130109","130109","藁城区","base.state_cn_HE","city_cn_130100","052100","0311"
"district_cn_130110","130110","鹿泉区","base.state_cn_HE","city_cn_130100","050200","0311"
"district_cn_130111","130111","栾城区","base.state_cn_HE","city_cn_130100","051400","0311"
"district_cn_130121","130121","井陉县","base.state_cn_HE","city_cn_130100","050300","0311"
"district_cn_130123","130123","正定县","base.state_cn_HE","city_cn_130100","050800","0311"
"district_cn_130125","130125","行唐县","base.state_cn_HE","city_cn_130100","050600","0311"
"district_cn_130126","130126","灵寿县","base.state_cn_HE","city_cn_130100","050500","0311"
"district_cn_130127","130127","高邑县","base.state_cn_HE","city_cn_130100","051300","0311"
"district_cn_130128","130128","深泽县","base.state_cn_HE","city_cn_130100","052500","0311"
"district_cn_130129","130129","赞皇县","base.state_cn_HE","city_cn_130100","051200","0311"
"district_cn_130130","130130","无极县","base.state_cn_HE","city_cn_130100","052400","0311"
"district_cn_130131","130131","平山县","base.state_cn_HE","city_cn_130100","050400","0311"
"district_cn_130132","130132","元氏县","base.state_cn_HE","city_cn_130100","051100","0311"
"district_cn_130133","130133","赵县","base.state_cn_HE","city_cn_130100","051500","0311"
"district_cn_130181","130181","辛集市","base.state_cn_HE","city_cn_130100","052300","0311"
"district_cn_130183","130183","晋州市","base.state_cn_HE","city_cn_130100","052200","0311"
"district_cn_130184","130184","新乐市","base.state_cn_HE","city_cn_130100","050700","0311"
"district_cn_130202","130202","路南区","base.state_cn_HE","city_cn_130200","063000","0315"
"district_cn_130203","130203","路北区","base.state_cn_HE","city_cn_130200","063000","0315"
"district_cn_130204","130204","古冶区","base.state_cn_HE","city_cn_130200","063100","0315"
"district_cn_130205","130205","开平区","base.state_cn_HE","city_cn_130200","063000","0315"
"district_cn_130207","130207","丰南区","base.state_cn_HE","city_cn_130200","063300","0315"
"district_cn_130208","130208","丰润区","base.state_cn_HE","city_cn_130200","064000","0315"
"district_cn_130209","130209","曹妃甸区","base.state_cn_HE","city_cn_130200","063200","0315"
"district_cn_130224","130224","滦南县","base.state_cn_HE","city_cn_130200","063500","0315"
"district_cn_130225","130225","乐亭县","base.state_cn_HE","city_cn_130200","063600","0315"
"district_cn_130227","130227","迁西县","base.state_cn_HE","city_cn_130200","064300","0315"
"district_cn_130229","130229","玉田县","base.state_cn_HE","city_cn_130200","064100","0315"
"district_cn_130281","130281","遵化市","base.state_cn_HE","city_cn_130200","064200","0315"
"district_cn_130283","130283","迁安市","base.state_cn_HE","city_cn_130200","064400","0315"
"district_cn_130284","130284","滦州市","base.state_cn_HE","city_cn_130200","063700","0315"
"district_cn_130302","130302","海港区","base.state_cn_HE","city_cn_130300","066000","0335"
"district_cn_130303","130303","山海关区","base.state_cn_HE","city_cn_130300","066200","0335"
"district_cn_130304","130304","北戴河区","base.state_cn_HE","city_cn_130300","066100","0335"
"district_cn_130306","130306","抚宁区","base.state_cn_HE","city_cn_130300","066300","0335"
"district_cn_130321","130321","青龙满族自治县","base.state_cn_HE","city_cn_130300","066500","0335"
"district_cn_130322","130322","昌黎县","base.state_cn_HE","city_cn_130300","066600","0335"
